Speaker,Content,Image,Place,LeftCharacter,RightCharacter,Face
수사 반장 로즈,"에밀리, 수고했구나.",,LivingRoom,,Assets/Resources/Sprites/character/rose_idle.png,무표정
꼬마 탐정 에밀리,거봐요~ 제가 걱정말라고 했죠!?,,LivingRoom,Assets/Resources/Sprites/character/emily_smile.png,,기쁨
수사 반장 로즈,그래. 이젠 네가 나를 지켜줄 수 있겠구나.,,LivingRoom,,Assets/Resources/Sprites/character/rose_idle.png,무표정
꼬마 탐정 에밀리,그럼요!! 저는 탐정 에밀리잖아요!,,LivingRoom,Assets/Resources/Sprites/character/emily_smile.png,,기쁨
수사 반장 로즈,"자만하지 마렴.  사건의 전말은 이러해, 붉은 드레스 여인은 늘 붉은색을 동경해왔어. 그녀는 가질 수 없는 부의 상징이었기 때문이야.",,LivingRoom,,Assets/Resources/Sprites/character/rose_idle.png,무표정
수사 반장 로즈,"거리의 붉은 꽃을 꺾어 옷을 장식해도, 꽃은 늘 금방 시들기 마련이었지. 그렇게 그녀의 마음도 조금씩 시들어 갔던거야.",,LivingRoom,,Assets/Resources/Sprites/character/rose_notgood.png,심기불편
수사 반장 로즈,"시든 그녀의 마음은 그 누구도 달래줄 수 없었고, 영원히 붉게 피어있는 이 저택에 늘 발을 담그고 싶었던거지. 그런 그녀를 관리인 하버는 늘 경계했고, 하버만 없애면 이 저택을 가질 수 있을거라 믿었던거야.",,LivingRoom,,Assets/Resources/Sprites/character/rose_notgood.png,심기불편
꼬마 탐정 에밀리,"하지만 이 저택도 언젠간 허물고, 색도 점점 바라게 될텐데요… 그럼 그녀가 입고 있던 그 드레스는 누가 준걸까요?",,LivingRoom,Assets/Resources/Sprites/character/emily_closeeyes.png,,고민
수사 반장 로즈,에밀리. 이제 그만 돌아가 쉬자구나.,,LivingRoom,,Assets/Resources/Sprites/character/rose_idle.png,무표정
꼬마 탐정 에밀리,에이… 이제 더 제 일에 사명감을 갖고 빠르고! 정확한! 추리를 해낼 수 있을 것 같은데요!? 다른 사건은 없나요??,,LivingRoom,Assets/Resources/Sprites/character/emily_smile.png,,기쁨
수사 반장 로즈,에밀리 빨리 오렴.,,LivingRoom,,Assets/Resources/Sprites/character/rose_smile.png,미소
꼬마 탐정 에밀리,엄마 같이가요!!!,,LivingRoom,Assets/Resources/Sprites/character/emily_smile.png,,기쁨
