Speaker,Content,Image,Place,LeftCharacter,RightCharacter
수사 반장 로즈,에밀리… 이제 놀이는 그만 하자구나. 진짜 범인은 엄마가 찾아내 꼭 너에게 알려줄게.,,LivingRoom,Rose,
꼬마 탐정 에밀리,엄마 그치만 아무리 생각해봐도 다른 사람들은 범인이 아닌걸요? 제가 진짜 범인이 맞아요!!,,LivingRoom,,Emily
수사 반장 로즈,에밀리... 여긴 지금 네가 놀 곳이 아니잖니.,,LivingRoom,Rose,
꼬마 탐정 에밀리,엄마아~ 탐정 놀이는 하루종일해도 재밌단 말이에요!,,LivingRoom,,Emily
수사 반장 로즈,"에밀리, 떼쓰지 말거라. 이제 그만하고 엄마 말을 들으면 내일 또 탐정 놀이 해줄게.",,LivingRoom,Rose,
꼬마 탐정 에밀리,정말요!? 엄마 정말 감사해요!!ㅎㅎ,,LivingRoom,,Emily
수사 반장 로즈,"에밀리, 잠시 얌전히 기다리고 있거라. 금방 갔다 올게.",,LivingRoom,Rose,
꼬마 탐정 에밀리,네~~!!,,LivingRoom,,Emily
꼬마 탐정 에밀리,하나..둘..셋..넷..!,,LivingRoom,,Emily
꼬마 탐정 에밀리,엄마~ 저 너무 추워요! 벽난로에 불 켜주세요!!,,LivingRoom,,Emily
수사 반장 로즈,에밀리 가만히 기다리거라~!,,LivingRoom,Rose,
